metric,scope,value,unit,status,notes
guard_privacy_parser_tests,app-scoped-synthetic,54,tests,PASS,"Focused pytest suite from apps/browser-runner for network guard, privacy boundary, and LMS parser fixtures"
phase4a_core_tests,app-scoped-synthetic,34,tests,PASS,"Focused pytest suite from apps/browser-runner for pending selection, exact context, and deterministic identity"
parser_context_identity_tests,app-scoped-synthetic,49,tests,PASS,"Focused pytest suite from apps/browser-runner for the final-review fixes"
python_test_root,worktree-root,program-not-found,command,FAIL,"uv run pytest failed at the worktree root: Failed to spawn pytest"
python_lint_root,worktree-root,program-not-found,command,FAIL,"uv run ruff check . failed at the worktree root: Failed to spawn ruff"
python_type_root,worktree-root,program-not-found,command,FAIL,"uv run mypy src failed at the worktree root: Failed to spawn mypy"
python_unit_tests,app-scoped-synthetic,192,tests,PASS,"uv run pytest from apps/browser-runner; does not override the worktree-root FAIL"
python_lint_checks,app-scoped-synthetic,1,commands,PASS,"uv run ruff check . from apps/browser-runner; does not override the worktree-root FAIL"
python_type_checks,app-scoped-synthetic,20,source-files,PASS,"uv run mypy src from apps/browser-runner; does not override the worktree-root FAIL"
web_unit_tests,synthetic,46,tests,PASS,"Vitest suite; 11 files"
supabase_db_reset,synthetic-local,1,runs,PASS,"npx supabase db reset from the worktree root before RLS verification"
supabase_rls_tests,synthetic-local,67,tests,PASS,"Fresh post-reset run passed on the first attempt in the final-fix wave"
live_lms_runs,live,not-run,runs,BLOCKED,"Synthetic-only phase; live selectors and owner-approved smoke are deferred"
lms_cold_warm_metrics,live,not-measured,runs,BLOCKED,"No owner-approved live run in Phase 4A"
